# Animation run summary
animation_type,AStar_animation
total_frames,1176
total_time_s,11.7600
success,True
num_collisions,561
num_replans,1220
path_length,282.4976
trajectory_image,animation_run_20260218_115730_AStar_animation_trajectory.png

"# Collisions (time_s, frame, type, detail)"
time_s,frame,type,detail
3.5300,353,ellipse,obstacle indices [1]
3.5400,354,ellipse,obstacle indices [1]
3.5500,355,ellipse,obstacle indices [1]
3.5600,356,ellipse,obstacle indices [1]
3.5700,357,ellipse,obstacle indices [1]
3.5800,358,ellipse,obstacle indices [1]
3.5900,359,ellipse,obstacle indices [1]
3.6000,360,ellipse,obstacle indices [1]
3.6100,361,ellipse,obstacle indices [1]
3.6200,362,ellipse,obstacle indices [1]
3.6300,363,ellipse,obstacle indices [1]
3.6400,364,ellipse,obstacle indices [1]
3.6500,365,ellipse,obstacle indices [1]
3.6600,366,ellipse,obstacle indices [1]
3.6700,367,ellipse,obstacle indices [1]
3.6800,368,ellipse,obstacle indices [1]
3.6900,369,ellipse,obstacle indices [1]
3.7000,370,ellipse,obstacle indices [1]
3.7100,371,ellipse,obstacle indices [1]
3.7200,372,ellipse,obstacle indices [1]
3.7300,373,ellipse,obstacle indices [1]
3.7400,374,ellipse,obstacle indices [1]
3.7500,375,ellipse,obstacle indices [1]
3.7600,376,ellipse,obstacle indices [1]
3.7700,377,ellipse,obstacle indices [1]
3.7800,378,ellipse,obstacle indices [1]
3.7900,379,ellipse,obstacle indices [1]
3.9100,391,ellipse,obstacle indices [1]
3.9200,392,ellipse,obstacle indices [1]
3.9300,393,ellipse,obstacle indices [1]
3.9400,394,ellipse,obstacle indices [1]
3.9500,395,ellipse,obstacle indices [1]
3.9600,396,ellipse,obstacle indices [1]
3.9700,397,ellipse,obstacle indices [1]
3.9800,398,ellipse,obstacle indices [1]
3.9900,399,ellipse,obstacle indices [1]
4.0000,400,ellipse,obstacle indices [1]
4.0100,401,ellipse,obstacle indices [1]
4.0200,402,ellipse,obstacle indices [1]
4.0300,403,ellipse,obstacle indices [1]
4.0400,404,ellipse,obstacle indices [1]
4.0500,405,ellipse,obstacle indices [1]
4.0600,406,ellipse,obstacle indices [1]
4.0700,407,ellipse,obstacle indices [1]
4.0800,408,ellipse,obstacle indices [1]
4.0900,409,ellipse,obstacle indices [1]
4.1000,410,ellipse,obstacle indices [1]
4.1100,411,ellipse,obstacle indices [1]
4.1200,412,ellipse,obstacle indices [1]
4.1300,413,ellipse,obstacle indices [1]
4.1400,414,ellipse,obstacle indices [1]
4.1500,415,ellipse,obstacle indices [1]
4.1600,416,ellipse,obstacle indices [1]
4.1700,417,ellipse,obstacle indices [1]
