# Animation run summary
animation_type,AStar_animation
total_frames,799
total_time_s,7.9900
success,True
num_collisions,89
num_replans,375
path_length,284.5115
trajectory_image,animation_run_20260218_120023_AStar_animation_trajectory.png

"# Collisions (time_s, frame, type, detail)"
time_s,frame,type,detail
2.6100,261,ellipse,obstacle indices [5]
2.6200,262,ellipse,obstacle indices [5]
2.6300,263,ellipse,obstacle indices [5]
2.6400,264,ellipse,obstacle indices [5]
2.6500,265,ellipse,obstacle indices [5]
2.6600,266,ellipse,obstacle indices [5]
2.6700,267,ellipse,obstacle indices [5]
2.6800,268,ellipse,obstacle indices [5]
2.6900,269,ellipse,obstacle indices [5]
2.7000,270,ellipse,obstacle indices [5]
2.7100,271,ellipse,obstacle indices [5]
2.7200,272,ellipse,obstacle indices [5]
2.7300,273,ellipse,obstacle indices [5]
2.7400,274,ellipse,obstacle indices [5]
2.7500,275,ellipse,obstacle indices [5]
2.7600,276,ellipse,obstacle indices [5]
2.7700,277,ellipse,obstacle indices [5]
2.7800,278,ellipse,obstacle indices [5]
2.7900,279,ellipse,obstacle indices [5]
2.8000,280,ellipse,obstacle indices [5]
2.8100,281,ellipse,obstacle indices [5]
2.8200,282,ellipse,obstacle indices [5]
2.8300,283,ellipse,obstacle indices [5]
2.8400,284,ellipse,obstacle indices [5]
2.8500,285,ellipse,obstacle indices [5]
2.8600,286,ellipse,obstacle indices [5]
2.8700,287,ellipse,obstacle indices [5]
2.8800,288,ellipse,obstacle indices [5]
2.8900,289,ellipse,obstacle indices [5]
2.9000,290,ellipse,obstacle indices [5]
2.9100,291,ellipse,obstacle indices [5]
2.9200,292,ellipse,obstacle indices [5]
2.9300,293,ellipse,obstacle indices [5]
2.9400,294,ellipse,obstacle indices [5]
2.9500,295,ellipse,obstacle indices [5]
2.9600,296,ellipse,obstacle indices [5]
2.9700,297,ellipse,obstacle indices [5]
2.9800,298,ellipse,obstacle indices [5]
2.9900,299,ellipse,obstacle indices [5]
3.0000,300,ellipse,obstacle indices [5]
3.0100,301,ellipse,obstacle indices [5]
3.0200,302,ellipse,obstacle indices [5]
3.0300,303,ellipse,obstacle indices [5]
3.5500,355,ellipse,obstacle indices [5]
3.5600,356,ellipse,obstacle indices [5]
3.5700,357,ellipse,obstacle indices [5]
3.5800,358,ellipse,obstacle indices [5]
3.5900,359,ellipse,obstacle indices [5]
3.6000,360,ellipse,obstacle indices [5]
3.6100,361,ellipse,obstacle indices [5]
3.6200,362,ellipse,obstacle indices [5]
3.6300,363,ellipse,obstacle indices [5]
3.6400,364,ellipse,obstacle indices [5]
3.6500,365,ellipse,obstacle indices [5]
3.6600,366,ellipse,obstacle indices [5]
3.6700,367,ellipse,obstacle indices [5]
3.6800,368,ellipse,obstacle indices [5]
3.6900,369,ellipse,obstacle indices [5]
3.7000,370,ellipse,obstacle indices [5]
3.7100,371,ellipse,obstacle indices [5]
3.7200,372,ellipse,obstacle indices [5]
3.7300,373,ellipse,obstacle indices [5]
3.7400,374,ellipse,obstacle indices [5]
3.7500,375,ellipse,obstacle indices [5]
3.7600,376,ellipse,obstacle indices [5]
3.7700,377,ellipse,obstacle indices [5]
3.7800,378,ellipse,obstacle indices [5]
3.7900,379,ellipse,obstacle indices [5]
3.8000,380,ellipse,obstacle indices [5]
3.8100,381,ellipse,obstacle indices [5]
3.8200,382,ellipse,obstacle indices [5]
3.8300,383,ellipse,obstacle indices [5]
3.8400,384,ellipse,obstacle indices [5]
3.8500,385,ellipse,obstacle indices [5]
3.8600,386,ellipse,obstacle indices [5]
3.8700,387,ellipse,obstacle indices [5]
3.8800,388,ellipse,obstacle indices [5]
3.8900,389,ellipse,obstacle indices [5]
3.9000,390,ellipse,obstacle indices [5]
3.9100,391,ellipse,obstacle indices [5]
3.9200,392,ellipse,obstacle indices [5]
3.9300,393,ellipse,obstacle indices [5]
3.9400,394,ellipse,obstacle indices [5]
3.9500,395,ellipse,obstacle indices [5]
3.9600,396,ellipse,obstacle indices [5]
3.9700,397,ellipse,obstacle indices [5]
3.9800,398,ellipse,obstacle indices [5]
3.9900,399,ellipse,obstacle indices [5]
4.0000,400,ellipse,obstacle indices [5]

"# Replans (time_s, frame, reason)"
time_s,frame,reason
0.0200,2,No path (segment blocked or collision)
1.4900,149,Waypoint in obstacle
2.5200,252,Segment blocked
2.5300,253,Segment blocked
2.5400,254,Segment blocked
2.5500,255,Segment blocked
2.5600,256,Segment blocked
2.5700,257,Segment blocked
2.5800,258,Segment blocked
2.5900,259,Segment blocked
2.6000,260,Segment blocked
2.6100,261,Segment blocked
2.6100,261,Collision; clear path
2.6200,262,Segment blocked
2.6200,262,Collision; clear path
2.6300,263,Segment blocked
2.6300,263,Collision; clear path
2.6400,264,Segment blocked
2.6400,264,Collision; clear path
2.6500,265,Segment blocked
2.6500,265,Collision; clear path
2.6600,266,Segment blocked
2.6600,266,Collision; clear path
2.6700,267,Segment blocked
2.6700,267,Collision; clear path
2.6800,268,Segment blocked
2.6800,268,Collision; clear path
2.6900,269,Segment blocked
2.6900,269,Collision; clear path
2.7000,270,Segment blocked
2.7000,270,Collision; clear path
2.7100,271,Segment blocked
2.7100,271,Collision; clear path
2.7200,272,Segment blocked
2.7200,272,Collision; clear path
2.7300,273,Segment blocked
2.7300,273,Collision; clear path
